Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Barbell Zercher Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Dumbbell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Kettlebell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Landmine Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine
Macebell Order Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Macebell
Single Arm Macebell Order Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Macebell
Single Arm Macebell Order Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Macebell
Clubbell Order Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell
Plate Overhead Bulgarian Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate
Tire Bulgarian Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Tire
Tire Bulgarian Split Squat Jump,Intermediate,Quadriceps,Quadriceps Femoris,,,Tire
Double Dumbbell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Double Dumbbell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Dumbbell Goblet Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Dumbbell Goblet Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Barbell Zercher Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Zercher Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Back Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Single Arm Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Bulgarian Bag Back Rack Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag
Bulgarian Bag Back Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag
Plate Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate
Plate Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate
Double Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Double Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Macebell Order Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Macebell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Single Arm Macebell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Single Arm Macebell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Single Arm Macebell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Single Arm Macebell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell
Sandbag Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag
Sandbag Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag
Single Arm Kettlebell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Rectus Abdominis,Kettlebell
Single Arm Kettlebell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Rectus Abdominis,Kettlebell
Double Kettlebell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
