Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment
Single Arm Clubbell Front Flag Hold Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell
Single Arm Clubbell Front Flag Hold Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Clubbell
Heavy Sandbag Bear Hug Carry,Intermediate,Abdominals,Rectus Abdominis,Biceps Brachii,Gluteus Maximus,Heavy Sandbag
Dumbbell Hip Thrust,Beginner,Glutes,Gluteus Maximus,,,Dumbbell
Double Dumbbell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Dumbbell
Single Arm Kettlebell Bottoms Up Split Jerk,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell
Alternating Single Arm Kettlebell Bottoms Up Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Single Arm Kettlebell Bottoms Up Clean,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell
Alternating Single Arm Kettlebell Bottoms Up Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Alternating Single Arm Kettlebell Bottoms Up Clean to Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Heavy Sandbag Shoulder Carry,Intermediate,Abdominals,Rectus Abdominis,Obliques,Gluteus Maximus,Heavy Sandbag
Double Dumbbell Front Rack Carry,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Carry,Novice,Abdominals,Rectus Abdominis,Gluteus Maximus,,Dumbbell
Double Clubbell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell
Single Arm Clubbell Order Carry,Novice,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell
Double Clubbell Front Flag Hold Carry,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell
Single Arm Clubbell Front Flag Hold Carry,Intermediate,Forearms,Brachioradialis,Rectus Abdominis,Gluteus Maximus,Clubbell
Barbell Overhead Carry,Advanced,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell
Single Arm Barbell Overhead Carry,Expert,Shoulders,Anterior Deltoids,Rectus Abdominis,Gluteus Maximus,Barbell
Barbell Front Rack Carry,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell
Single Arm Kettlebell Split Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell
Double Kettlebell Suitcase Alternating Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell
Alternating Single Arm Kettlebell Sumo Deadlift,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell
Single Arm Kettlebell Suitcase March,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead March,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack March,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell
Double Kettlebell Half Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Alternating Single Arm Kettlebell Half Snatch,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids,,Kettlebell
Single Arm Kettlebell Half Snatch,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Half Snatch to Thruster,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Kettlebell Overhead Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Heavy Sandbag Bear Hug Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Heavy Sandbag Shoulder Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Heavy Sandbag Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Heavy Sandbag
Heavy Sandbag Bear Hug Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag
Heavy Sandbag Bear Hug Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag
Heavy Sandbag Shoulder Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Heavy Sandbag Shoulder Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag
Heavy Sandbag Shoulder Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag
Heavy Sandbag Shoulder Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag
Heavy Sandbag Over the Shoulder,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag
Heavy Sandbag Alternating Shoulder Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag
Heavy Sandbag Alternating Over the Shoulder,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Heavy Sandbag
Heavy Sandbag Bear Hug Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag
Double Dumbbell Turkish Get Up,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell
Alternating Single Arm Clubbell Mill,Intermediate,Shoulders,Posterior Deltoids,Gluteus Maximus,Obliques,Clubbell
Bodyweight Hand Assisted Sissy Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Sissy Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Hand Assisted Knee Over Toe Split Squat,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Superband Sissy Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Superband
Double Dumbbell Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Barbell Front Rack Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Kettlebell Goblet Horse Stance Squat,Novice,Quadriceps,Gluteus Maximus,,,Kettlebell
Double Kettlebell Alternating Forward Lunge Snatch,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Kettlebell
Double Kettlebell Feet Elevated Renegade Row,Advanced,Back,Latissimus Dorsi,,,Kettlebell
Double Kettlebell Feet Elevated Renegade Row Push Up,Advanced,Back,Latissimus Dorsi,,,Kettlebell
Double Kettlebell Half Snatch to Overhead Press,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell
Double Clubbell Order Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell
Single Arm Clubbell Order Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell
Clubbell Order Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell
Double Clubbell Front Flag Hold Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell
Single Arm Clubbell Front Flag Hold Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell
Clubbbell Front Flag Hold Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Brachioradialis,Clubbell
Bodyweight Box Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight
Bodyweight Lateral Box Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight
Bodyweight Alternating Lateral Box Jump,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight
Bodyweight Straddle Planche,Expert,Abdominals,Rectus Abdominis,,,Bodyweight
Macebell Alternating 360 to Ballistic Curl,Intermediate,Shoulders,Posterior Deltoids,Biceps Brachii,Rectus Abdominis,Macebell
Suspension Pelican Curl,Advanced,Biceps,Biceps Brachii,Pectoralis Major,Brachioradialis,Suspension Trainer
Double Kettlebell Half Snatch to Front Rack Squat,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Minimus,Kettlebell
Single Arm Suspension Ipsilateral Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer
Kettlebell Single Leg Standing Hip Flexion,Intermediate,Hip Flexors,Iliopsoas,Rectus Femoris,,Kettlebell
Double Kettlebell Bottoms Up Overhead Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Double Dumbbell Hammer Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Dumbbell
Double Kettlebell Low Hold Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Double Kettlebell Low Hold Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Kettlebell Goblet Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Barbell Zercher Carry,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,,Barbell
Alternating Double Dumbbell Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Alternating Double Dumbbell Incline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Alternating Double Dumbbell Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Alternating Double Dumbbell Top Down Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Alternating Double Dumbbell Top Down Incline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Alternating Double Dumbbell Top Down Decline Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Dumbbell
Single Arm Kettlebell Front Rack Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Single Arm Kettlebell Ipsilateral Cossack Squat Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Adductor Magnus,Kettlebell
Kettlebell Goblet Foot Elevated Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Double Dumbbell Overhead Alternating Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Contralateral Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Barbell Overhead Alternating Box Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Overhead Box Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Single Arm Dumbbell Suitcase Contralateral Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Suitcase Ipsilateral Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Front Rack Alternating Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Barbell Overhead Box Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Front Rack Box Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Back Rack Box Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Single Arm Dumbbell Front Rack Contralateral Box Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Dumbbell Overhead Ipsilateral Box Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell
Single Arm Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Kettlebell Goblet Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Kettlebell Low Hold Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Kettlebell Low Hold Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Single Arm Kettlebell Front Rack Ipsilateral Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell
Double Kettlebell Front Rack Carry,Novice,Abdominals,Rectus Abdominis,,,Kettlebell
Double Kettlebell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Kettlebell
Double Kettlebell Bottoms Up Overhead Carry,Advanced,Shoulders,Anterior Deltoids,Obliques,,Kettlebell
Single Arm Kettlebell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Carry,Advanced,Shoulders,Anterior Deltoids,Obliques,,Kettlebell
Single Arm Kettlebell Half Kneeling Bent Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Clubbell Order Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Double Clubbell Order Alternating Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Contralateral Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Single Arm Clubbell Order Ipsilateral Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell
Bar Advanced Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Advanced Tuck Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Advanced Tuck Front Lever Pull Up,Expert,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Archer Pull Up,Advanced,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Chin Up,Intermediate,Biceps,Biceps Brachii,Latissimus Dorsi,,Pull Up Bar
Bar Circle Front Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Dead Hang,Beginner,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Dead Hang to Front Lever Pull Up,Master,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Eccentric Chin Up,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Pull Up Bar
Bar Eccentric Pull Up,Novice,Back,Latissimus Dorsi,,,Pull Up Bar
Bar False Grip Pull Up,Advanced,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Front Lever Pull to Inverted Hang,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Full Back Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Full Front Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Full Front Lever Pull Up,Master,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Gironda Sternum Chin Up,Expert,Biceps,Biceps Brachii,Latissimus Dorsi,,Pull Up Bar
Bar Half Lay Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Half Lay Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Hanging Knee Raise,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Pull Up Bar
Bar Hanging Knees to Elbows,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Pull Up Bar
Bar Hanging Knees to Wrists,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Pull Up Bar
Bar Hanging Leg Raise,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Hanging Leg Raise Toes to Bar,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Hanging Oblique Knee Raise,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Pull Up Bar
Bar Inverted Hang,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar L Sit Hang Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar L Sit Archer Pull Up,Expert,Back,Latissimus Dorsi,Biceps Brachii,,Pull Up Bar
Bar L Sit Chin Up,Advanced,Biceps,Biceps Brachii,Latissimus Dorsi,Rectus Abdominis,Pull Up Bar
Bar L Sit Pull Up,Advanced,Back,Latissimus Dorsi,Biceps Brachii,Rectus Abdominis,Pull Up Bar
Bar Pull Up,Intermediate,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Scapular Pull Up,Intermediate,Back,Latissimus Dorsi,Rhomboids,,Pull Up Bar
Bar Single Leg Out Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Single Leg Out Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Skin The Cat,Intermediate,Shoulders,Anterior Deltoids,,,Pull Up Bar
Bar Straddle Back Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Straddle Front Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Straddle Front Lever Pull Up,Expert,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Strict Muscle Up,Expert,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Tuck Back Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Tuck Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Bar Tuck Front Lever Pull Up,Expert,Back,Latissimus Dorsi,,,Pull Up Bar
Bar Tuck Front Lever with Alternating Single Leg Extensions,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar
Single Arm Bar Dead Hang,Novice,Back,Latissimus Dorsi,,,Pull Up Bar
Single Arm Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Single Arm Kettlebell Bottoms Up Tall Kneeling Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Tall Kneeling Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Alternating Double Kettlebell Bottoms Up Tall Kneeling Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Alternating Double Kettlebell Tall Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Alternating Double Kettlebell Half Kneeling Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Bottoms Up Half Kneeling Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Alternating Double Kettlebell Bottoms Up Half Kneeling Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Tall Kneeling Seesaw Overhead Press,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Bodyweight Alternating Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Bodyweight Box Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight
Macebell Order Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Macebell Order Foot Elevated Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell
Alternating Single Arm Macebell 10 to 2,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell
Slider Archer Push Up,Advanced,Chest,Pectoralis Major,,,Sliders
Suspension Archer Push Up,Advanced,Chest,Pectoralis Major,,,Suspension Trainer
Heavy Sandbag Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Heavy Sandbag
Superband Chaos Push Up,Advanced,Chest,Pectoralis Major,Triceps Brachii,,Superband
Double Kettlebell Bottoms Up Tall Kneeling Seesaw Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell
Double Kettlebell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Clubbell Order March,Novice,Abdominals,Rectus Abdominis,,,Clubbell
Single Arm Clubbell Order March,Novice,Abdominals,Rectus Abdominis,,,Clubbell
Resistance Band Alternating Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Resistance Band
Resistance Band Bicep Curl,Beginner,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Resistance Band
Resistance Band Chest Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Resistance Band
Resistance Band Alternating Chest Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Resistance Band
Single Arm Kettlebell Suitcase Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Overhead Walking Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Walking Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Clubbell Inside Pendulum to Inside Pullover,Intermediate,Back,Latissimus Dorsi,Posterior Deltoids,Obliques,Clubbell
Single Arm Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell
Clubbell Inside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell
Clubbell Inside Pendulum to Outside Pendulum,Intermediate,Abdominals,Obliques,Gluteus Maximus,,Clubbell
Single Arm Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell
Alternating Double Clubbell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell
Double Clubbell Inside Circle to Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Clubbell
Double Clubbell Front Flag Hold March,Novice,Abdominals,Rectus Abdominis,Anterior Deltoids,,Clubbell
Single Arm Clubbell Front Flag Hold March,Novice,Abdominals,Rectus Abdominis,Anterior Deltoids,,Clubbell
Single Arm Kettlebell Bottoms Up Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Kettlebell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell
Barbell Snatch Balance,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Clubbell Alternating Inside Pendulum to Inside Pullover,Intermediate,Back,Latissimus Dorsi,Posterior Deltoids,Obliques,Clubbell
Double Dumbbell Suitcase March,Novice,Abdominals,Rectus Abdominis,,,Dumbbell
Single Arm Dumbbell Suitcase March,Novice,Abdominals,Rectus Abdominis,,,Dumbbell
Double Dumbbell Front Rack March,Novice,Abdominals,Rectus Abdominis,,,Dumbbell
Single Arm Dumbbell Front Rack March,Novice,Abdominals,Rectus Abdominis,,,Dumbbell
Double Dumbbell Overhead March,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell
Single Arm Dumbbell Overhead March,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell
Barbell Front Rack March,Novice,Abdominals,Rectus Abdominis,,,Barbell
Barbell Back Rack March,Novice,Abdominals,Rectus Abdominis,,,Barbell
Barbell Back Rack Alternating Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Back Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell
Barbell Overhead Alternating Lateral Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Front Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Barbell Back Rack Alternating Lateral Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell
Kettlebell Single Leg Romanian Deadlift,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Arm Bar,Novice,Shoulders,Infraspinatus,Subscapularis,Obliques,Kettlebell
Single Arm Kettlebell Bottoms Up Arm Bar,Intermediate,Shoulders,Infraspinatus,Subscapularis,Obliques,Kettlebell
Single Arm Kettlebell Bottoms Up Arm Bar Rotation,Intermediate,Shoulders,Infraspinatus,Subscapularis,Obliques,Kettlebell
Single Arm Kettlebell Front Rack Contralateral Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Front Rack Ipsilateral Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Kettlebell Horn Grip Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Overhead Contralateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Overhead Ipsilateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Contralateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell
Double Kettlebell L Sit,Advanced,Abdominals,Rectus Abdominis,,,Kettlebell
